Sample ID,Floral,Country,Island,Year,Latitude,Longitude,Li,B,Na,Mg,Al,K,Ca,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Rb,Sr,Ag,Cs,Ba,La,Ce,Pb,Rb/Sr
100002 Avg,Manuka,New Zealand,North,2009,-39.4458553,175.1512388,0.043926947,2.961700489,25.25389801,14.50541943,1.119906699,939.2119741,48.32115969,0.002067221,0.00595926,0.640073906,0,0.004665732,0.08825691,0.106634609,0.436128798,0.017362528,0.897764476,0.127553154,0.007725189,0.000445347,0.11401815,0.000420685,0.002633927,0.003059262,7.038355744
100003 Avg,Manuka,New Zealand,North,2009,-39.4458553,175.1512388,0.0145122,4.139914872,27.72864894,20.24996564,3.222967668,1555.701383,42.43245225,0,0.004547691,1.483292797,1.188929495,0.010397479,0.02957897,0.187652188,1.103861675,0.017595789,1.581494821,0.145526086,0.007320092,0.000324845,0.121484105,0.000235214,0.000418579,0.007352177,10.86743183
100004 Avg,Manuka,New Zealand,North,2009,-39.05449,175.5008692,0.019284978,4.392975878,17.95968006,21.20592558,0.927979788,1327.070755,57.87886717,0.001755578,0.016381813,1.665749244,0,0,0.095095338,0.130748595,0.629411789,0.020952177,4.834116637,0.110238311,0.003064821,0.017408328,0.135704253,0.000411378,0.001680492,0.005672595,43.8515121
100005 Avg,Manuka,New Zealand,North,2009,-39.0107526,175.4219749,0.053776957,4.039250227,22.23942524,25.97424056,3.531855174,1501.585434,76.39760843,0.004748412,0.128534516,2.752226275,5.047509353,0.004665354,0.12230252,0.300581,3.608794026,0.079476148,5.957542453,0.147870489,0.00346577,0.060051868,0.503312985,0.000624119,0.002501059,0.115688443,40.28892113
100006 Avg,Kamahi,New Zealand,North,2009,-38.5859333,175.4542614,0.009347991,4.45756585,18.2046966,17.93843473,0.809177188,1329.050058,39.81184569,0,0.030834364,1.666597429,2.491013254,0.001433813,0.061176383,0.131282725,8.039711755,0.025049069,5.081452691,0.092846176,0.003412095,0.016029036,0.165720347,0.000301779,0.001645446,0.019717081,54.72980023
100007 Avg,Kamahi,New Zealand,North,2009,-39.0042137,175.4837254,0,5.040903074,20.8245652,19.58285275,0.67526804,2180.790762,53.9741798,0.000507196,0.028444754,1.653365358,0,0,0.016454487,0.107820722,4.518336513,0.021763416,7.406950621,0.132156957,0.003018145,0.015487099,0.147356116,0.000131464,0.001235126,0.002983633,56.04661909
100008 Avg,Kamahi,New Zealand,North,2009,-38.5724188,175.4411539,0.021457558,5.122891887,27.10417527,28.69755036,2.680055194,2405.149046,66.13856751,0.002103413,0.018420338,2.726468807,1.400733391,0,0.046506653,0.294953418,6.385861066,0.03170308,9.159138116,0.206832834,0.007714851,0.034610658,0.206660812,0.000333714,0.000999243,0.010391423,44.2828053
100009 Avg,Manuka,New Zealand,North,2009,-35.3858006,173.5213002,0.01158194,5.143919071,84.5792045,70.18271277,0.857380998,2618.806954,85.82923319,0.002420268,0.061222682,2.156664975,4.93196713,0.012965761,0.094397333,0.532501498,27.84994852,0.042248268,3.468020388,0.424428692,0.00163782,0.002389167,0.272556188,0.000321773,0.001246465,0.013490353,8.171031918
100010 Avg,Manuka,New Zealand,North,2009,-36.014152,173.551128,0,6.701199402,128.6947657,21.43668116,0.792832912,1291.149722,80.1181786,0.003031606,0.014946241,2.276219783,0,0.004620929,0.030990581,0.316388068,2.047993803,0.01708837,2.451584601,0.161287286,0.003088182,0.006206029,0.110183456,0.000295749,-7.72E-05,0.005034133,15.20011067
100011 Avg,Honeydew,New Zealand,South,2009,-42.42516702,172.3327086,0.013658593,2.840058686,13.58479597,103.4079847,0.431238099,4635.968931,35.12588734,0,0.006024622,0.888736589,0,0.012316446,0.55854161,1.185436128,2.11167198,0.027553421,5.88811373,0.215515446,0.001572002,0.015908294,0.178398099,6.57E-05,0.001037102,0.003094362,27.32107526
100012 Avg,Honeydew,New Zealand,South,2009,-42.42516702,172.3327086,0.005170229,2.649507384,13.34972262,101.4910887,0.388613527,4522.636157,34.73541337,0,0.001946625,0.942163358,0,0.014015079,0.530681475,1.025756971,1.553377525,0.023461387,6.452166003,0.196211627,0.0042515,0.020000578,0.151516393,0,0.00053607,0.006835405,32.88370873
100013 Avg,Honeydew,New Zealand,South,2009,-42.42516702,172.3327086,0.006082064,2.702911601,12.55815722,97.3240993,0.335330308,4414.361764,30.86728009,0,0.002917564,1.007285605,0,0.013152758,0.502170644,1.03310373,1.558522788,0.02281402,6.975932274,0.176987649,0.051047137,0.022120426,0.14509006,0.00047794,0.000361904,0.004212944,39.41479716
